Area,Capability,v1 Status,v2 Priority,v2 Phase,v2 Owner,v2 Status,Notes / Source of Truth
Exports,Shareable public link,Done,P1,5,BE,Not started,
Exports,Always-version-on-export,New in v2,P1,5,BE,Not started,Whiteboard rule
Jobs,Unified jobs table,Improved in v2,P0,1,BE,Not started,single table for all background work
Jobs,Live step updates via WebSocket,Improved in v2,P0,1,BE+FE,Not started,was polling in v1
Jobs,Resume-on-reload (by-entity status),Done,P1,3,BE,Not started,
Events,Single event intake (POST /events),New in v2,P0,1,BE,Not started,discriminated union
Events,Event attribution (who did this),New in v2,P1,4,BE,Not started,Whiteboard revise-loop
Events,Event scope (feature/module/page explicit),New in v2,P0,1,BE,Not started,replaces touchedByUser heuristic
Events,Append-only log (source of truth),New in v2,P0,1,BE,Not started,replaces regeneration_log
Collab,Comments on any entity,Partial,P2,5,BE+FE,Not started,Whiteboard: Comment kahi par
Collab,Resolve / delete comment,Partial,P2,5,BE+FE,Not started,
Collab,Members / roles / invites,Done,P2,5,BE+FE,Not started,
Collab,Real-time multi-user edit,New in v2,P3,Later,BE+FE,Not started,
Versions,History (approved version snapshots),Done,P1,5,BE,Not started,
Versions,Restore from version,Done,P2,5,FE,Not started,
Versions,Diff viewer (old vs new tokens),Partial,P2,5,FE,Not started,
Infra,Zod validation on every route,New in v2,P0,0,BE,Not started,
Infra,OpenAPI auto-emission,New in v2,P0,0,BE,Not started,
Infra,Generated FE client from OpenAPI,New in v2,P0,0,FE,Not started,no hand-written signatures
Infra,Schema.sql (authoritative schema),New in v2,P0,0,BE,Not started,replaces migrate.ts drift
Infra,Usage tracking per user,Done,P2,6,BE,Not started,usage_events
Infra,Suggestions engine,Partial,P2,6,BE,Not started,confidence-driven nudges
Infra,Landing page,Done,P2,0,FE,Not started,
Infra,Confidence dashboard page,Done,P1,6,FE,Not started,
Infra,v1→v2 migration script,New in v2,P1,7,BE,Not started,last step before GA
